,round,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,played_position,points,on_field,feed_id,first_name,last_name,team,position,round_number_alt,source
157,13.0,71052.0,9867.0,James,Bad Boys For Fyfe,464.0,MID,80.0,True,298279,Angus,Brayshaw,MEL,MID,R13,Free Agent
158,14.0,71052.0,9867.0,James,Bad Boys For Fyfe,464.0,MID,66.0,True,298279,Angus,Brayshaw,MEL,MID,R14,Free Agent
159,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,578.0,RUC,70.0,True,290746,Scott,Lycett,PTA,RUC,R1,Draft
160,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,578.0,RUC,117.0,True,290746,Scott,Lycett,PTA,RUC,R2,Draft
161,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,578.0,RUC,156.0,True,290746,Scott,Lycett,PTA,RUC,R3,Draft
162,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,578.0,RUC,96.0,True,290746,Scott,Lycett,PTA,RUC,R4,Draft
163,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,578.0,RUC,62.0,True,290746,Scott,Lycett,PTA,RUC,R5,Draft
164,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,578.0,RUC,108.0,True,290746,Scott,Lycett,PTA,RUC,R6,Draft
165,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,578.0,RUC,0.0,False,290746,Scott,Lycett,PTA,RUC,R7,Draft
166,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,578.0,RUC,0.0,False,290746,Scott,Lycett,PTA,RUC,R8,Draft
167,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,578.0,RUC,0.0,False,290746,Scott,Lycett,PTA,RUC,R9,Draft
168,10.0,86078.0,9806.0,Lester,HoweIMetYourMother,578.0,RUC,0.0,False,290746,Scott,Lycett,PTA,RUC,R10,Draft
169,11.0,86078.0,9806.0,Lester,HoweIMetYourMother,578.0,RUC,63.0,True,290746,Scott,Lycett,PTA,RUC,R11,Draft
170,12.0,86078.0,9806.0,Lester,HoweIMetYourMother,578.0,RUC,90.0,True,290746,Scott,Lycett,PTA,RUC,R12,Draft
171,13.0,86078.0,9806.0,Lester,HoweIMetYourMother,578.0,RUC,128.0,True,290746,Scott,Lycett,PTA,RUC,R13,Draft
172,14.0,86078.0,9806.0,Lester,HoweIMetYourMother,578.0,RUC,86.0,True,290746,Scott,Lycett,PTA,RUC,R14,Draft
173,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,377.0,FWD,70.0,True,293845,Jeremy,Cameron,GWS,FWD,R1,Draft
